feature,coefficient,abs_coefficient
OLCI_4 OLCI_7,0.002279302,0.002279302
OLCI_5 OLCI_9,-0.0021740745,0.0021740745
OLCI_11^2,0.002160111,0.002160111
OLCI_7 OLCI_12,-0.0021549906,0.0021549906
OLCI_6 OLCI_19,-0.0021489419,0.0021489419
OLCI_3 OLCI_19,0.0021381972,0.0021381972
OLCI_10 OLCI_13,-0.0020528294,0.0020528294
OLCI_12 OLCI_14,0.0020347054,0.0020347054
OLCI_4 OLCI_9,-0.0019552887,0.0019552887
OLCI_8 OLCI_18,0.001889738,0.001889738
OLCI_6 OLCI_16,-0.0018870778,0.0018870778
OLCI_5 OLCI_17,-0.0018838376,0.0018838376
OLCI_1 OLCI_16,-0.0018731595,0.0018731595
OLCI_9 OLCI_21,0.0018697534,0.0018697534
OLCI_7 OLCI_21,-0.0018473804,0.0018473804
OLCI_9 OLCI_18,0.0018127874,0.0018127874
OLCI_8 OLCI_19,0.0017509612,0.0017509612
OLCI_14 OLCI_15,-0.0017338607,0.0017338607
OLCI_2 OLCI_20,-0.0017225684,0.0017225684
OLCI_10 OLCI_19,-0.0017216371,0.0017216371
OLCI_2,0.001711152,0.001711152
OLCI_9 OLCI_19,0.0016823695,0.0016823695
OLCI_7 OLCI_15,-0.0016451383,0.0016451383
OLCI_8 OLCI_21,0.0016164783,0.0016164783
OLCI_10 OLCI_18,-0.0016123566,0.0016123566
OLCI_5 OLCI_7,0.0016060395,0.0016060395
OLCI_1 OLCI_9,-0.001562085,0.001562085
OLCI_2 OLCI_8,-0.0015237113,0.0015237113
OLCI_15^2,0.0014725961,0.0014725961
OLCI_6 OLCI_18,-0.0014410621,0.0014410621
OLCI_13,0.0014249175,0.0014249175
OLCI_2 OLCI_3,-0.0014007483,0.0014007483
OLCI_7 OLCI_16,0.0013898817,0.0013898817
OLCI_15,-0.0013625138,0.0013625138
OLCI_14 OLCI_20,0.0013603984,0.0013603984
OLCI_10 OLCI_21,-0.0013598213,0.0013598213
OLCI_20,0.0013550147,0.0013550147
OLCI_8 OLCI_13,0.0013480295,0.0013480295
OLCI_5 OLCI_8,-0.0013136053,0.0013136053
OLCI_9 OLCI_13,0.0012587332,0.0012587332
OLCI_7 OLCI_11,-0.0012230787,0.0012230787
OLCI_4 OLCI_19,0.001200854,0.001200854
OLCI_5 OLCI_14,0.001183284,0.001183284
OLCI_8 OLCI_14,0.0011578312,0.0011578312
OLCI_8 OLCI_17,0.0011009522,0.0011009522
