feature,coefficient,abs_coefficient
OLCI_2^2,-0.0011554873,0.0011554873
OLCI_1 OLCI_2,0.0011384385,0.0011384385
OLCI_3 OLCI_17,-0.001123746,0.001123746
OLCI_10 OLCI_12,-0.0011164311,0.0011164311
OLCI_15 OLCI_20,-0.0010948943,0.0010948943
OLCI_2 OLCI_4,-0.0010853863,0.0010853863
OLCI_4 OLCI_14,-0.0010751035,0.0010751035
OLCI_9 OLCI_16,0.0010519213,0.0010519213
OLCI_8 OLCI_15,-0.0010518588,0.0010518588
OLCI_2 OLCI_19,-0.0010484507,0.0010484507
OLCI_9 OLCI_17,0.0010440977,0.0010440977
OLCI_20 OLCI_21,0.0010427858,0.0010427858
OLCI_7 OLCI_8,0.0010280961,0.0010280961
OLCI_19 OLCI_20,-0.001020913,0.001020913
OLCI_8 OLCI_13,-0.0010206955,0.0010206955
OLCI_7 OLCI_12,0.0010121911,0.0010121911
OLCI_3 OLCI_8,0.00094230106,0.00094230106
OLCI_13 OLCI_15,0.0009389685,0.0009389685
OLCI_9 OLCI_14,0.0009080481,0.0009080481
OLCI_15 OLCI_16,0.000898271,0.000898271
OLCI_7 OLCI_14,-0.0008820503,0.0008820503
OLCI_6 OLCI_20,0.00087044935,0.00087044935
OLCI_5 OLCI_12,0.00087028753,0.00087028753
OLCI_2 OLCI_11,-0.00085266586,0.00085266586
OLCI_1 OLCI_18,-0.0008511605,0.0008511605
OLCI_1 OLCI_12,0.00081240945,0.00081240945
OLCI_5 OLCI_8,0.0008050057,0.0008050057
OLCI_2 OLCI_7,0.0007978041,0.0007978041
OLCI_12 OLCI_21,0.00076373364,0.00076373364
OLCI_6 OLCI_18,-0.0007627113,0.0007627113
OLCI_1 OLCI_4,0.0007565692,0.0007565692
OLCI_14 OLCI_16,0.00074003404,0.00074003404
OLCI_1 OLCI_3,-0.00071621966,0.00071621966
OLCI_17 OLCI_19,0.000714133,0.000714133
OLCI_3 OLCI_21,-0.0006902602,0.0006902602
OLCI_3 OLCI_12,0.0006860525,0.0006860525
OLCI_7 OLCI_19,-0.0006831854,0.0006831854
OLCI_1 OLCI_11,0.0006481726,0.0006481726
OLCI_1 OLCI_16,-0.00061161653,0.00061161653
OLCI_9 OLCI_11,0.0005959898,0.0005959898
OLCI_7 OLCI_18,0.0005618416,0.0005618416
OLCI_16 OLCI_17,0.000534871,0.000534871
OLCI_6 OLCI_8,-0.00053481833,0.00053481833
OLCI_2 OLCI_12,-0.0005347485,0.0005347485
OLCI_20^2,0.00052349153,0.00052349153
OLCI_16 OLCI_19,-0.0005227127,0.0005227127
OLCI_5 OLCI_17,-0.0005148699,0.0005148699
OLCI_3 OLCI_16,-0.00049929414,0.00049929414
OLCI_8 OLCI_18,-0.0004883517,0.0004883517
OLCI_5 OLCI_18,0.00048382534,0.00048382534
OLCI_3 OLCI_19,0.00047033562,0.00047033562
OLCI_7 OLCI_11,-0.0004639285,0.0004639285
OLCI_3,0.00045400334,0.00045400334
OLCI_6 OLCI_12,-0.00044903485,0.00044903485
OLCI_7 OLCI_13,0.00043851457,0.00043851457
OLCI_12 OLCI_16,0.00043395464,0.00043395464
OLCI_12 OLCI_13,-0.00039782748,0.00039782748
OLCI_9 OLCI_21,-0.00039556297,0.00039556297
OLCI_4 OLCI_5,-0.0003939077,0.0003939077
OLCI_16^2,-0.00039327773,0.00039327773
OLCI_6 OLCI_7,0.00037631392,0.00037631392
OLCI_16 OLCI_21,0.00037032575,0.00037032575
OLCI_14 OLCI_19,0.00035372982,0.00035372982
OLCI_18 OLCI_20,-0.00034183363,0.00034183363
OLCI_3 OLCI_10,0.00034121878,0.00034121878
OLCI_7 OLCI_15,-0.0003047958,0.0003047958
OLCI_2 OLCI_8,0.00030374445,0.00030374445
OLCI_5 OLCI_21,-0.0003004172,0.0003004172
OLCI_5 OLCI_11,-0.0002778354,0.0002778354
OLCI_8^2,-0.00027366943,0.00027366943
OLCI_5 OLCI_19,0.00027111344,0.00027111344
OLCI_2 OLCI_10,-0.00026919972,0.00026919972
OLCI_1 OLCI_19,0.0002510855,0.0002510855
OLCI_7 OLCI_17,-0.00024741245,0.00024741245
OLCI_9 OLCI_19,0.00022620149,0.00022620149
OLCI_5 OLCI_16,-0.00022410881,0.00022410881
OLCI_9 OLCI_20,-0.00021505976,0.00021505976
OLCI_7 OLCI_20,-0.00017852767,0.00017852767
OLCI_6 OLCI_13,0.00017441995,0.00017441995
OLCI_4 OLCI_15,-0.00016698206,0.00016698206
OLCI_7 OLCI_16,-0.00015457677,0.00015457677
OLCI_8 OLCI_12,-0.00014319457,0.00014319457
OLCI_12 OLCI_19,0.00013235775,0.00013235775
OLCI_19^2,0.000103868544,0.000103868544
OLCI_3 OLCI_18,-0.00010012556,0.00010012556
OLCI_5 OLCI_10,9.0339454e-05,9.0339454e-05
OLCI_7 OLCI_10,7.7675e-05,7.7675e-05
OLCI_3 OLCI_11,-6.173912e-05,6.173912e-05
OLCI_4 OLCI_6,-1.1572614e-05,1.1572614e-05
